sku,Товар,Цена Kaspi,Продавать
0277180200,"Матрас ортопедический ""КОРОНА ЛЮКС"" (PRINCE) 1,80*2,00",229500,да
0277160200,"Матрас ортопедический ""КОРОНА ЛЮКС"" (PRINCE) 1,60*2,00",212100,да
0279200200,"Матрас ортопедический ""КОРОНА"" (PRINCE) (жесткий) 2,00*2,00",259500,да
0279180200,"Матрас ортопедический ""КОРОНА"" (PRINCE) (жесткий) 1,80*2,00",239100,да
0279160200,"Матрас ортопедический ""КОРОНА"" (PRINCE) (жесткий) 1,60*2,00",221000,да
0280200200,"Матрас ортопедический ""СУЛТАН ПРЕМИУМ"" 2,00*2,00",350500,да
0280180200,"Матрас ортопедический ""СУЛТАН ПРЕМИУМ"" 1,80*2,00",322000,да
0280160200,"Матрас ортопедический ""СУЛТАН ПРЕМИУМ"" 1,60*2,00",284800,да
0282120200,"Матрас ортопедический ""БАМБУК СТАНДАРТ"" (Bianco 1) 1,20*2,00",124300,да
0282090190,"Матрас ортопедический ""БАМБУК СТАНДАРТ"" (Bianco 1) 0,90*1,90",105300,да
0282160200,"Матрас ортопедический ""БАМБУК СТАНДАРТ"" (Bianco 1) 1,60*2,00",151200,да
0282090200,"Матрас ортопедический ""БАМБУК СТАНДАРТ"" (Bianco 1) 0,90*2,00",105300,да
0282140200,"Матрас ортопедический ""БАМБУК СТАНДАРТ"" (Bianco 1) 1,40*2,00",138100,да
0284090200,"Матрас ортопедический ""МУЛЬТИ ДЕ ЛЮКС"" (средне-жесткий/средне-мягкий) (Bianco multi -2) 0,90*2,00",144900,да
0284160200,"Матрас ортопедический ""МУЛЬТИ ДЕ ЛЮКС"" (средне-жесткий/средне-мягкий) (Bianco multi -2) 1,60*2,00",218700,да
0288090200,"Матрас ортопедический ""НАДЁЖНЫЙ ЛЮКС PRO"" (cредне-жесткий/cредне-мягкий) 0,90*2,00",127200,да
